timestamp,level,class,superclass,archetype,lfg_message
2025-02-17 18:11:24,27,fury,shaman,priest,"Fury lvl 27 LFG Varsoon, CC  or exp grind"
2025-02-17 18:12:02,27,warlock,sorcerer,mage,27 warlock lfg
2025-02-17 18:12:27,27,dirge,bard,scout,27 Dirge LFG
2025-02-17 18:13:30,51,coercer,enchanter,mage,51 Coey LFG
2025-02-17 18:13:55,52,illusionist,enchanter,mage,52 illy lfg
2025-02-17 18:14:22,34,warden,druid,priest,34 Warden LFG
2025-02-17 18:14:30,45,fury,shaman,priest,45 Fury LFG
2025-02-17 18:16:41,49,necromancer,summoner,mage,49 Necro and $9 Warlock LFG
2025-02-17 18:16:51,52,illusionist,enchanter,mage,52 illy or 18 necro lfg. pst
2025-02-17 18:17:07,52,illusionist,enchanter,mage,52 Illy LFG
2025-02-17 18:17:36,49,necromancer,summoner,mage,49 Necro and 49 Warlock LFG
2025-02-17 18:17:37,51,coercer,enchanter,mage,51 Coey LFG
2025-02-17 18:18:49,46,inquisitor,cleric,priest,46 Inquisitor LFG
2025-02-17 18:18:53,24,ranger,predator,scout,ranger 24 lfg fallen gate
2025-02-17 18:18:57,52,illusionist,enchanter,mage,52 illy lfg
2025-02-17 18:18:59,50,dirge,bard,scout,50 Dirge LFG
2025-02-17 18:21:18,50,dirge,bard,scout,50 Dirge LFG
2025-02-17 18:21:29,49,necromancer,summoner,mage,49 Necro and 49 Warlock LFG
2025-02-17 18:23:35,50,ranger,predator,scout,50 ranger lfg
2025-02-17 18:25:36,52,wizard,sorcerer,mage,52 wizard lfg
2025-02-17 18:25:37,46,inquisitor,cleric,priest,46 Inquisitor LFG
2025-02-17 18:26:17,18,necromancer,summoner,mage,18 necro lfg
2025-02-17 18:27:33,49,necromancer,summoner,mage,49 Warlock and 49 Necro LFG
2025-02-17 18:28:19,46,inquisitor,cleric,priest,46 Inquisitor LFG
2025-02-17 18:28:46,53,fury,shaman,priest,53 Fury LFG
2025-02-17 18:29:35,52,wizard,sorcerer,mage,52 wizard lfg 
2025-02-17 18:30:07,50,troubador,bard,scout,50 Troub and 50 Fury LFG
2025-02-17 18:30:20,50,ranger,predator,scout,50 ranger lfg
2025-02-17 18:30:47,51,defiler,druid,priest,51 Defiler lfg
2025-02-17 18:31:32,52,wizard,sorcerer,mage,52 wizard lfg 
2025-02-17 18:31:42,40,brigand,rogue,scout,40 brig lfg
2025-02-17 18:31:43,52,illusionist,enchanter,mage,52 Illy LFG
2025-02-17 18:33:20,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 18:33:26,53,warden,druid,priest,53 Warden LFG
2025-02-17 18:33:30,56,brigand,rogue,scout,56 brig lfg
2025-02-17 18:33:32,50,ranger,predator,scout,50 ranger lfg
2025-02-17 18:34:15,18,necromancer,summoner,mage,18 necro lfg
2025-02-17 18:35:35,53,dirge,bard,scout,53 Dirge LFG | Locked MC
2025-02-17 18:35:49,50,troubador,bard,scout,50 Troub LFG
2025-02-17 18:36:11,34,illusionist,enchanter,mage,34 Illy LFG Wanna finish up RoV quests
2025-02-17 18:36:19,50,berserker,warrior,fighter,50 zerk or fury lfg
2025-02-17 18:36:45,50,ranger,predator,scout,50 ranger lfg
2025-02-17 18:36:56,51,defiler,druid,priest,51 Defiler lfg
2025-02-17 18:37:20,39,swashbuckler,rogue,fighter,39 Swash LFG RoV
2025-02-17 18:39:02,53,warden,druid,priest,53 Warden LFG | No Lockouts
2025-02-17 18:39:55,52,wizard,sorcerer,mage,52 wizard lfg 
2025-02-17 18:40:48,47,wizard,sorcerer,mage,47 Wiz LFG
2025-02-17 18:40:53,46,inquisitor,cleric,priest,46 Inquisitor LFG
2025-02-17 18:41:02,53,fury,shaman,priest,53 Fury LFG
2025-02-17 18:41:27,50,illusionist,enchanter,mage,50 illy lfg
2025-02-17 18:41:57,52,illusionist,enchanter,mage,52 illy lfg
2025-02-17 18:42:13,50,assassin,predator,scout,50 assassin lfg
2025-02-17 18:42:56,50,troubador,bard,scout,50 Troub LFG
2025-02-17 18:43:00,45,necromancer,summoner,mage,45 necro lfg
2025-02-17 18:43:28,50,illusionist,enchanter,mage,50 illy lfg
2025-02-17 18:45:45,50,assassin,predator,scout,50 assassin lfg
2025-02-17 18:46:18,51,defiler,druid,priest,51 Defiler lfg
2025-02-17 18:46:59,39,swashbuckler,rogue,fighter,39 Swash LFG RoV
2025-02-17 18:47:02,52,illusionist,enchanter,mage,52 illy lfg
2025-02-17 18:47:13,51,coercer,enchanter,mage,lvl 51 Coercer lfg
2025-02-17 18:47:57,50,bruiser,brawler,fighter,50 Bruiser LFG - tank or dps
2025-02-17 18:48:55,52,defiler,druid,priest,52 defiler lfg custodians
2025-02-17 18:49:23,50,assassin,predator,scout,50 assassin lfg
2025-02-17 18:49:26,56,swashbuckler,rogue,fighter,56 Swashy lfg any exp
2025-02-17 18:49:55,39,swashbuckler,rogue,fighter,39 Swash LFG RE - PST
2025-02-17 18:50:07,51,defiler,druid,priest,51 Defiler lfg
2025-02-17 18:50:33,52,illusionist,enchanter,mage,52 Illy LFG
2025-02-17 18:50:43,52,illusionist,enchanter,mage,52 illus lfg
2025-02-17 18:50:57,53,dirge,bard,scout,53 Dirge LFG
2025-02-17 18:51:48,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 18:51:58,51,coercer,enchanter,mage,lvl 51 Coercer lfg
2025-02-17 18:52:03,53,fury,shaman,priest,53 Fury LFG
2025-02-17 18:52:15,19,inquisitor,cleric,priest,19 Inq lfg
2025-02-17 18:54:57,47,wizard,sorcerer,mage,47 Wiz LFG
2025-02-17 18:54:58,19,inquisitor,cleric,priest,19 inq lfg
2025-02-17 18:56:12,51,coercer,enchanter,mage,lvl 51 Coercer lfg
2025-02-17 18:56:25,51,swashbuckler,rogue,fighter,51 swash lfg Djinn Lord
2025-02-17 18:56:25,46,inquisitor,cleric,priest,46 Inquisitor LFG
2025-02-17 18:57:57,55,assassin,predator,scout,55 sin lfg xp
2025-02-17 18:58:28,46,necromancer,summoner,mage,46 necro lfg
2025-02-17 18:59:04,19,inquisitor,cleric,priest,19 inq lfg
2025-02-17 18:59:08,52,illusionist,enchanter,mage,52 illy lfg
2025-02-17 19:00:13,12,warden,druid,priest,12 warden (FP) LFG
2025-02-17 19:00:31,56,swashbuckler,rogue,fighter,56 Swashy lfg PoF or somethin
2025-02-17 19:05:00,46,inquisitor,cleric,priest,46 Inquisitor LFG
2025-02-17 19:05:27,12,warden,druid,priest,12 warden (FP) LFG
2025-02-17 19:06:13,49,necromancer,summoner,mage,49 Warlock and 49 Necro LFG
2025-02-17 19:08:53,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 19:09:16,51,coercer,enchanter,mage,lvl 51 Coercer lfg
2025-02-17 19:09:35,39,shadowknight,crusader,fighter,39 Dirge or 20 SK LFG
2025-02-17 19:10:17,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 19:12:13,39,shadowknight,crusader,fighter,39 Dirge or 20 SK LFG
2025-02-17 19:13:08,51,fury,shaman,priest,51 fury lfg
2025-02-17 19:13:11,56,troubador,bard,scout,56 Troub LFG
2025-02-17 19:13:42,54,swashbuckler,rogue,fighter,54 swash lfg
2025-02-17 19:13:43,52,illusionist,enchanter,mage,52 illus lfg
2025-02-17 19:13:49,51,shadowknight,crusader,fighter,51 conj(no locks) lfg or 32 sk pst
2025-02-17 19:13:52,46,inquisitor,cleric,priest,46 Inquisitor LFG
2025-02-17 19:14:28,52,wizard,sorcerer,mage,52 wizard lfg 
2025-02-17 19:15:21,12,illusionist,enchanter,mage,Lvl 12 Illy LFG BB
2025-02-17 19:15:40,12,warden,druid,priest,12 warden (FP) LFG
2025-02-17 19:16:06,12,illusionist,enchanter,mage,Lvl 12 Illy LFG BB
2025-02-17 19:16:44,39,shadowknight,crusader,fighter,39 Dirge or 20 SK LFG
2025-02-17 19:17:43,18,inquisitor,cleric,priest,18 inq lfg
2025-02-17 19:17:53,32,assassin,predator,scout,32 Sin LFG
2025-02-17 19:18:23,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 19:18:51,51,shadowknight,crusader,fighter,51 conj(no locks) lfg or 32 sk pst
2025-02-17 19:19:04,12,illusionist,enchanter,mage,Lvl 12 Illy LFG BB
2025-02-17 19:19:26,12,illusionist,enchanter,mage,"12 warden LFG have heals, will travel PST"
2025-02-17 19:20:48,46,inquisitor,cleric,priest,46 Inquisitor LFG
2025-02-17 19:21:50,51,shadowknight,crusader,fighter,51 conj(no locks) lfg or 32 sk pst
2025-02-17 19:21:51,52,wizard,sorcerer,mage,52 wizard lfg 
2025-02-17 19:22:09,51,coercer,enchanter,mage,lvl 51 Coercer lfg
2025-02-17 19:22:33,39,shadowknight,crusader,fighter,39 Dirge or 20 SK LFG
2025-02-17 19:23:47,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 19:28:41,52,wizard,sorcerer,mage,52 wizard lfg 
2025-02-17 19:29:26,51,shadowknight,crusader,fighter,51 conj(no locks) lfg or 32 sk pst
2025-02-17 19:30:18,49,necromancer,summoner,mage,49 Warlock and 49 Necro LFG
2025-02-17 19:30:43,39,shadowknight,crusader,fighter,39 Dirge or 20 SK LFG
2025-02-17 19:31:05,53,illusionist,enchanter,mage,53 illy LFG
2025-02-17 19:32:00,37,warlock,sorcerer,mage,37 warlock lfg 
2025-02-17 19:32:23,43,ranger,predator,scout,43 Ranger and Templar LFG
2025-02-17 19:33:08,41,dirge,bard,scout,41 dirge LFG CT
2025-02-17 19:33:42,55,conjuror,summoner,mage,55 Conjy LFG  PoF Giants perfered
2025-02-17 19:33:53,20,troubador,bard,scout,20 Troub LFG
2025-02-17 19:34:13,39,shadowknight,crusader,fighter,39 Dirge or 20 SK LFG
2025-02-17 19:34:13,56,swashbuckler,rogue,fighter,56 swash lfg
2025-02-17 19:34:40,37,warlock,sorcerer,mage,37 warlock or 25 assassin lfg
2025-02-17 19:35:05,46,dirge,bard,scout,46 Dirge LFG
2025-02-17 19:35:15,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 19:35:51,34,coercer,enchanter,mage,34 coercer lfg
2025-02-17 19:37:55,37,warlock,sorcerer,mage,37 warlock or 25 assassin lfg
2025-02-17 19:39:28,39,shadowknight,crusader,fighter,39 Dirge or 20 SK LFG
2025-02-17 19:41:24,49,necromancer,summoner,mage,49 Warlock and 49 Necro LFG
2025-02-17 19:42:11,46,dirge,bard,scout,46 Dirge LFG
2025-02-17 19:44:01,60,shadowknight,crusader,fighter,60 SK LFG Roost!
2025-02-17 19:44:15,41,swashbuckler,rogue,fighter,41 swash lfg
2025-02-17 19:45:49,49,necromancer,summoner,mage,49 Warlock and 49 Necro LFG
2025-02-17 19:48:51,34,coercer,enchanter,mage,34 coercer lfg
2025-02-17 19:49:38,50,assassin,predator,scout,50 assassin lfg
2025-02-17 19:51:02,46,dirge,bard,scout,46 Dirge LFG
2025-02-17 19:52:18,52,dirge,bard,scout,52 dirge lfg XP
2025-02-17 19:52:27,56,swashbuckler,rogue,fighter,56 Swash lfg PoF
2025-02-17 19:52:52,50,assassin,predator,scout,50 assassin lfg
2025-02-17 19:53:05,41,swashbuckler,rogue,fighter,41 swash lfg
2025-02-17 19:53:11,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
